geography,scheduled,joined,no_shows,join_rate,no_show_rate
India,348,208,140,0.5977011494252874,0.40229885057471265
Vietnam,518,315,203,0.6081081081081081,0.3918918918918919
Australia,202,124,78,0.6138613861386139,0.38613861386138615
UAE,270,172,98,0.6370370370370371,0.362962962962963
USA,1075,697,378,0.6483720930232558,0.3516279069767442
UK,374,244,130,0.6524064171122995,0.34759358288770054
Saudi Arabia,279,183,96,0.6559139784946236,0.34408602150537637
Singapore,163,117,46,0.7177914110429447,0.2822085889570552
